subject,status,mcgill_code,mcgill_title,host_code,host_title,institution,country
ACCT,Not Equivalent,ACCT351,Intermediate Financial Accounting 1,BUS2257,Accounting and Business Analysis,University of Western Ontario (UWO),Canada
ACCT,Not Equivalent,ACCT354,Financial Statement Analysis,E2800290,Financial Accounting Application,Peking University,China
ACCT,Not Equivalent,ACCT354,Financial Statement Analysis,30588,FINANCIAL STATEMENT ANALYSIS FOR COMPANY VALUATION,Luigi Bocconi University,Italy
ACCT,Not Equivalent,ACCT361,Management Accounting,COMM305,Managerial Accounting,Concordia University,Canada
ACCT,Not Equivalent,ACCT361,Management Accounting,02832480,Cost and Managerial Accounting,Peking University,China
ACCT,Equivalent,ACCT361,Management Accounting,ACCT4,Managerial Accounting,Butte College,USA
ACCT,Not Equivalent,ACCT385,Principles of Taxation,1DP044,international financial management,Prague University of Economics and Business (VSE),Czech Republic
ACCT,Equivalent,ACCT401,Sustainability and Environmental Accounting,GEOG3214,Corporate Social Responsibility and Environmental Auditing,The University of Hong Kong (HKU),"Hong Kong, SAR"
ACCT,Not Equivalent,ACCT401,Sustainability and Environmental Accounting,ACCFIN4092,Climate Accounting and ESG Reporting,The University of Glasgow,"Scotland, UK"
ACCT,Not Equivalent,ACCT434,Topics in Accounting 1,ACCFIN4002,Ethics in Accounting and Business,The University of Glasgow,"Scotland, UK"
ACCT,Not Equivalent,ACCT434,Topics in Accounting 1,ACCFIN4031,Accountability and Human Rights,The University of Glasgow,"Scotland, UK"
ACCT,Not Equivalent,ACCT451,Data Analytics in Capital Market,NA,Foundation of Finanace,Comillas Pontifical University,Spain
ACCT,Not Equivalent,ACCT452,Financial Reporting Valuation,BUILDINGFINANCIALPROJECTIONS,BUILDING FINANCIAL PROJECTIONS,IE University - Madrid,Spain
ACCTXXX,Not Equivalent,ACCTXXX,Accounting XXX,4QQMB101,Accounting and Financial Reporting,University of London - King's College London,"England, UK"
AEBI,Equivalent,AEBI120,General Biology,BIOL201,introductory biology,Concordia University,Canada
AEBI,Not Equivalent,AEBI120,General Biology,BIOL1020,Fundamentals of Biology: Molecules to Cells,Dalhousie University,Canada
AEBI,Equivalent,AEBI120,General Biology,BIOL1110,Introductory Biology 1,Kwantlen Poly University,Canada
AEBI,Equivalent,AEBI120,General Biology,BIOL103,Fundamentals of Biology: Organisms to Ecosystems,Queen's University,Canada
AEBI,Not Equivalent,AEBI120,General Biology,BIOL1070,Discovering Biodiversity,University of Guelph,Canada
AEBI,Equivalent,AEBI120,General Biology,BIO1530,Introduction à la biologie des organismes,University of Ottawa,Canada
AEBI,Equivalent,AEBI120,General Biology,BIO120,Adaptation & Biodiversity,University of Toronto,Canada
AEBI,Equivalent,AEBI120,General Biology,1901157W,Introduction to Biology with Lab,Nanjing University of Aeronautics and Astronautics,China
AEBI,Equivalent,AEBI120,General Biology,1901197W,Introductory Biology,Nanjing University of Aeronautics and Astronautics,China
AEBI,Equivalent,AEBI120,General Biology,ENV103,Biology,École Polytechnique Fédérale de Lausanne,Switzerland
AEBI,Not Equivalent,AEBI120,General Biology,BIOL10,Introductory Biology,De Anza College,USA
AEBI,Equivalent,AEBI120,General Biology,BIO1111 AND BIO1112,,Pikes Peak State College (post 2022),USA
AEBI,Not Equivalent,AEBI120,General Biology,BSC2010C,General Biology I,Seminole State College of Florida,USA
AEBI,Not Equivalent,AEBI120,General Biology,BIOL150,Introduction to Biology,University of Jamestown,USA
AEBI,Equivalent,AEBI120,General Biology,BCOR1450,Exploring Biology 2,University of Vermont,USA
AEBI,Not Equivalent,AEBI122,Cell Biology,BIOL204,Principles of Biology I,Athabasca University,Canada
AEBI,Not Equivalent,AEBI122,Cell Biology,BIOL1021,Introductory Biology II: Organismal Biology and Ecology,Dalhousie University,Canada
AEBI,Not Equivalent,AEBI122,Cell Biology,2131,BIOL,Thompson Rivers University,Canada
AEBI,Not Equivalent,AEBI122,Cell Biology,BIOL2131,Cell and Molecular Biology,Thompson Rivers University,Canada
AEBI,Not Equivalent,AEBI122,Cell Biology,1901085W,Cellular and Molecular Biology with lab,Nanjing University of Aeronautics and Astronautics,China
AEBI,Equivalent,AEBI122,Cell Biology,BIOL200,Foundation of living systems,Brown University,USA
AEBI,Equivalent,AEBI122,Cell Biology,BIO181,Unity Of Life: Life Of The Cell,Northern Arizona University,USA
AEBI,Equivalent,AEBI122,Cell Biology,BIOL110,General Biology I,Siena College,USA
AEBI,Equivalent,AEBI122,Cell Biology,BCOR1400,Exploring Biology,University of Vermont,USA
AEBI,Not Equivalent,AEBI210,Organisms 1,BIOS2011,Evolutionary and Physiological Ecology,University of New South Wales (UNSW),Australia
AEBI,Not Equivalent,AEBI210,Organisms 1,BIO1334,Biodiversité 1,Universite de Montreal,Canada
AEBI,Not Equivalent,AEBI210,Organisms 1,BIO1534,Physiologie végétale,Universite de Montreal,Canada
AEBI,Equivalent,AEBI210,Organisms 1,1901540W,Introduction to plant biology,Nanjing University of Aeronautics and Astronautics,China
AEBI,Not Equivalent,AEBI210,Organisms 1,BILG08016,The Green Planet 2,The University of Edinburgh,"Scotland, UK"
AEBI,Not Equivalent,AEBI210,Organisms 1,BILG09021,Molecular and Synthetic Plant Biology 3,The University of Edinburgh,"Scotland, UK"
AEBI,Equivalent,AEBI210,Organisms 1,BS3018,Plant Biology,Nanyang Technological University,Singapore
AEBI,Not Equivalent,AEBI210,Organisms 1,ENV220,Fundamentals in ecology,École Polytechnique Fédérale de Lausanne,Switzerland
AEBI,Equivalent,AEBI211,Organisms 2,BIOL226 AND BIOL225,,Concordia University,Canada
AEBI,Not Equivalent,AEBI211,Organisms 2,1901967W,Animal Biology,Nanjing University of Aeronautics and Astronautics,China
AEBI,Equivalent,AEBI212,Evolution and Phylogeny,BIOL2201,Evolution,University of Queensland (UQ),Australia
AEBI,Not Equivalent,AEBI212,Evolution and Phylogeny,BIOL1996,Life and Evolution,University of Sydney,Australia
AEBI,Equivalent,AEBI212,Evolution and Phylogeny,BIO1284,Évolution,Universite de Montreal,Canada
AEBI,Equivalent,AEBI212,Evolution and Phylogeny,BIOL213,"Ecology, Evolution and the Biosphere",University of Calgary,Canada
AEBI,Equivalent,AEBI212,Evolution and Phylogeny,1901538W,Evolution and phylogeny,Nanjing University of Aeronautics and Astronautics,China
AEBI,Not Equivalent,AEBI2XX,Biology (Agric & Envir Sc) 2XX,MSCI0501,The Marine Environment,University of New South Wales (UNSW),Australia
AEBIXXX,Not Equivalent,AEBIXXX,Biology (Agric & Envir Sc) XXX,BIOL3030,Urban Ecology,University of Queensland (UQ),Australia
AEBIXXX,Not Equivalent,AEBIXXX,Biology (Agric & Envir Sc) XXX,NS220,Food and Agriculture,John Cabot University,Italy
AEBIXXX,Not Equivalent,AEBIXXX,Biology (Agric & Envir Sc) XXX,5512FFET6Y,Food Forestry: Experiencing the Future of Nature and Agriculture,University of Amsterdam,Netherlands
AEBIXXX,Not Equivalent,AEBIXXX,Biology (Agric & Envir Sc) XXX,LSM3256,Tropical Horticulture,National University of Singapore,Singapore
AEBIXXX,Not Equivalent,AEBIXXX,Biology (Agric & Envir Sc) XXX,BSC1010C,General Biology I w/Lab,Lake-Sumter State College,USA
AEBIXXX,Not Equivalent,AEBIXXX,Biology (Agric & Envir Sc) XXX,BSC1011C,General Biology II w/Lab,Lake-Sumter State College,USA
AECH,Equivalent,AECH110,General Chemistry 1,CHEM1110,The Structure of Matter,Kwantlen Poly University,Canada
AECH,Not Equivalent,AECH110,General Chemistry 1,CHM1963,Chimie générale,Universite de Montreal,Canada
AECH,Not Equivalent,AECH110,General Chemistry 1,CHM1711,Principes de chimie,University of Ottawa,Canada
AECH,Equivalent,AECH110,General Chemistry 1,101,CHEM,Howard Community College,USA
AECH,Equivalent,AECH110,General Chemistry 1,CHE1011,Introduction to Chemistry 1 w/Lab,Pikes Peak State College (post 2022),USA
AECH,Equivalent,AECH110,General Chemistry 1,CHEM133,General Chemistry 1,University of Jamestown,USA
AECH,Equivalent,AECH110,General Chemistry 1,CHEM1400,General Chemistry 1,University of Vermont,USA
AECH,Equivalent,AECH110 AND AECH111,,General Chemistry 2,CHEM112,Queen's University,Canada
AECH,Equivalent,AECH111,General Chemistry 2,CHEM206,General Chemistry 2,Concordia University,Canada
AECH,Equivalent,AECH111,General Chemistry 2,CHEM1220,General Chemistry II,Langara College,Canada
AECH,Equivalent,AECH111,General Chemistry 2,CHM135H1S,Chemistry: Physical Principles,University of Toronto,Canada
AECH,Equivalent,AECH111,General Chemistry 2,CHM0160,Chimie des solutions,Université Laval,Canada
AECH,Equivalent,AECH111,General Chemistry 2,1901229W,General Chemistry II with Lab,Nanjing University of Aeronautics and Astronautics,China
AECH,Not Equivalent,AECH111,General Chemistry 2,CH114,General Chemistry II,Trine University,USA
AECH,Equivalent,AECH111,General Chemistry 2,CHEM134,General Chemistry II,University of Jamestown,USA
AECH,Equivalent,AECH111,General Chemistry 2,CHEM1450,General chemistry 2,University of Vermont,USA
AECH,Not Equivalent,AECH111,General Chemistry 2,CHEM201,General Chemistry,American University in Dubai,United Arab Emirates
AECH,Equivalent,AECH1XX,Chemistry (Agric&EnvirSci) 1XX,CHEM142,PRINCIPLES OF MODERN CHEMISTRY II,University of Arizona,USA
AECH,Not Equivalent,AECH2XX,Chemistry (Agric&EnvirSci) 2XX,21321,Pharmaceutics I,The Arab International University,Syria
AEHM,Equivalent,AEHM2XX,English (Agric & Envir Sc) 2XX,SBM2006,Analyse de la communication scientifique,Universite de Montreal,Canada
AEMA,Equivalent,AEMA100,Precalculus Mathematics,MATH130,Mathematics for Biochemistry and Life Sciences,Queen's University,Canada
AEMA,Equivalent,AEMA101,Calculus 1,MATH265,Introduction to Calculus 1,Athabasca University,Canada
AEMA,Equivalent,AEMA101,Calculus 1 with Precalculus,MATH100,Calculus 1,Camosun College,Canada
AEMA,Equivalent,AEMA101,Calculus 1,MATH203,Differential & Intergal Calculus I,Concordia University,Canada
AEMA,Equivalent,AEMA101,Calculus 1,MATH1000,Differential & Integral Calculus I,Dalhousie University,Canada
AEMA,Equivalent,AEMA101,Calculus 1 with Precalculus,MATH1130,Calculus for Life Sciences 1,Kwantlen Poly University,Canada
AEMA,Equivalent,AEMA101,Calculus 1,MATH1141,Calculus 1,Thompson Rivers University,Canada
AEMA,Equivalent,AEMA101,Calculus 1,MAT1903,calcul differenciel,Universite de Montreal,Canada
AEMA,Equivalent,AEMA101,Calculus 1,MAT900,Notions fondamentales de calcul differentiel,Universite de Sherbrooke,Canada
AEMA,Not Equivalent,AEMA101,Calculus 1,MATH1080,Elements of Calculus 1,University of Guelph,Canada
AEMA,Equivalent,AEMA101,Calculus 1 with Precalculus,MAT135,Calculus 1,University of Toronto,Canada
AEMA,Equivalent,AEMA101,Calculus 1,MAT0150,Calcul différentiel,Université Laval,Canada
AEMA,Equivalent,AEMA101,Calculus 1 with Precalculus,1900825W,Calculus I,Nanjing University of Aeronautics and Astronautics,China
AEMA,Equivalent,AEMA101,Calculus 1,5211,Calculus 1,University of Shanghai for Science and Technology,China
AEMA,Equivalent,AEMA101,Calculus 1 with Precalculus,MATH141,Calculus I,Bard College,USA
AEMA,Equivalent,AEMA101,Calculus 1 with Precalculus,MTH2610,Calculus I,Baruch College (CUNY),USA
AEMA,Equivalent,AEMA101,Calculus 1 with Precalculus,280,CALCULUS I,Bergen Community College,USA
AEMA,Equivalent,AEMA101,Calculus 1 with Precalculus,MAT301,Analytic Geometry and Calculus I,Borough of Manhattan Community College (CUNY),USA
AEMA,Equivalent,AEMA101,Calculus 1,MATH112,Calculus 1,Brigham Young University,USA
AEMA,Equivalent,AEMA101,Calculus 1 with Precalculus,MATH150,Calculus 1,Hunter College (CUNY),USA
AEMA,Not Equivalent,AEMA101,Calculus 1 with Precalculus,MAT290,Calculus I for Engineering & Science,Middlesex Community College,USA
AEMA,Equivalent,AEMA101,Calculus 1 with Precalculus,161,Calculus 1,Millersville University of Pennsylvania,USA
AEMA,Equivalent,AEMA101,Calculus 1 with Precalculus,MAUY1024,Calculus 1,New York University (NYU),USA
AEMA,Equivalent,AEMA101,Calculus 1 with Precalculus,MAT205,Calculus 1,Orange County Comm College,USA
AEMA,Equivalent,AEMA101,Calculus 1 with Precalculus,MAT2410,Calculus 1,Pikes Peak State College (post 2022),USA
AEMA,Not Equivalent,AEMA101,Calculus 1,MAT1440,Precalculus,Pikes Peak State College (post 2022),USA
AEMA,Equivalent,AEMA101,Calculus 1 with Precalculus,MTH251,Calculus 1,Portland State University,USA
AEMA,Equivalent,AEMA101,Calculus 1 with Precalculus,1730,University Calculus I,Saint John's University,USA
AEMA,Equivalent,AEMA101,Calculus 1,MATH226,Calculus I,San Francisco State University,USA
AEMA,Equivalent,AEMA101,Calculus 1 with Precalculus,MAT251,Calculus 1,State University of New York at New Paltz,USA
AEMA,Equivalent,AEMA101,Calculus 1 with Precalculus,MATH201,Calculus 1,Tompkins Cortland Community College,USA
AEMA,Equivalent,AEMA101,Calculus 1,MATH251,Calculus of Derivatives,University of Jamestown,USA
AEMA,Equivalent,AEMA101,Calculus 1 with Precalculus,MAT152,Calculus A,University of Southern Maine,USA
AEMA,Equivalent,AEMA101,Calculus 1,MATH1234,calculus 1,University of Vermont,USA
AEMA,Equivalent,AEMA102,Calculus 2,20467,MATH 2007 A,Carleton University,Canada
AEMA,Equivalent,AEMA102,Calculus 2,MATH205,Differential & Integral Calculus II,Concordia University,Canada
AEMA,Equivalent,AEMA102,Calculus 2,1271,Calculus 2,Langara College,Canada
AEMA,Equivalent,AEMA102,Calculus 2,MATH1241,Calculus II,Thompson Rivers University,Canada
AEMA,Equivalent,AEMA102,Calculus 2,MAT901,Notions fondamentales de calcul intégral,Universite de Sherbrooke,Canada
AEMA,Equivalent,AEMA102,Calculus 2,MATH101,Calculus II,University of Alberta,Canada
AEMA,Not Equivalent,AEMA102,Calculus 2,MATH267,University Calculus II,University of Calgary,Canada
AEMA,Equivalent,AEMA102,Calculus 2,MAT136,Calculus II,University of Toronto,Canada
AEMA,Equivalent,AEMA102,Calculus 2,MAT0260,Calcul Intégral,Université Laval,Canada
AEMA,Equivalent,AEMA102,Calculus 2,0701M230,Calculus II,Jinan University,China
AEMA,Equivalent,AEMA102,Calculus 2,1900805W,Calculus II,Nanjing University of Aeronautics and Astronautics,China
AEMA,Equivalent,AEMA102,Calculus 2,5212,Calculus II,University of Shanghai for Science and Technology,China
AEMA,Equivalent,AEMA102,Calculus 2,MATH142,Calculus II,Bard College,USA
AEMA,Equivalent,AEMA102,Calculus 2,MTH3010,Calculus II,Baruch College (CUNY),USA
AEMA,Equivalent,AEMA102,Calculus 2,MAT281,Calculus II,Bergen Community College,USA
AEMA,Equivalent,AEMA102,Calculus 2,MAT302,Analytic Geometry and Calculus II,Borough of Manhattan Community College (CUNY),USA
AEMA,Equivalent,AEMA102,Calculus 2,MATH113,Calculus 2,Brigham Young University,USA
AEMA,Not Equivalent,AEMA102,Calculus 2,MTH252,Calculus 2,Portland State University,USA
AEMA,Equivalent,AEMA102,Calculus 2,MATH152,Calculus II for the Mathematical and Physical Sciences,Rutgers University - New Brunswick Campus,USA
AEMA,Equivalent,AEMA102,Calculus 2,141,MAT,Trident Technical College,USA
AEMA,Not Equivalent,AEMA102,Calculus 2,MA164,Calculus II,Trine University,USA
AEMA,Equivalent,AEMA102,Calculus 2,MATH2160,Calculus II,Tunxis Community College,USA
AEMA,Equivalent,AEMA102,Calculus 2,MATH1320,Calculus II,University of Massachusetts Lowell (UMass Lowell UML),USA
AEMA,Equivalent,AEMA102,Calculus 2,MATH166,Calculus ll,University of North Dakota,USA
AEMA,Equivalent,AEMA102,Calculus 2,MATH191,Calculus 2,Westchester Community College (SUNY),USA
AEMA,Not Equivalent,AEMA105,Precalculus Lab,MAC1140,Precalculus Algebra,Lake-Sumter State College,USA
AEMA,Not Equivalent,AEMA202,Intermediate Calculus,MATH2111,Higher Several Variable Calculus,University of New South Wales (UNSW),Australia
AEMA,Equivalent,AEMA202,Intermediate Calculus,MATH2008A,Intermediate Calculus,Carleton University,Canada
AEMA,Equivalent,AEMA202,Intermediate Calculus,0701M375,Multivariable Calculu,Jinan University,China
AEMA,Equivalent,AEMA202,Intermediate Calculus,1900818W,Multivar Calculus,Nanjing University of Aeronautics and Astronautics,China
AEMA,Equivalent,AEMA202,Intermediate Calculus,MAT267,Calculus 3 for engineers,Arizona State University,USA
AEMA,Equivalent,AEMA202,Intermediate Calculus,MAT267ICOURSE,Calculus 3 for engineers (icourse),Arizona State University,USA
AEMA,Not Equivalent,AEMA202,Intermediate Calculus,MATH2310,Calculus III,University of Massachusetts Lowell (UMass Lowell UML),USA
AEMA,Equivalent,AEMA2XX,Mathematics (Agric&Envir Sci) 2XX,BIOL2006,Biostatistics & Experimental Design,University of Queensland (UQ),Australia
AEMA,Equivalent,AEMA2XX,Mathematics (Agric&Envir Sci) 2XX,ENGR213,Applied Ordinary Differential Equations,Concordia University,Canada
AEMA,Equivalent,AEMA2XX,Mathematics (Agric&Envir Sci) 2XX,CISC151,Elements of Computing with Data Analytics,Queen's University,Canada
AEMA,Equivalent,AEMA2XX,Mathematics (Agric&Envir Sci) 2XX,GEN1523,Mathématiques de l'ingénieur II,Université du Québec en Outaouais (UQO),Canada
AEMA,Equivalent,AEMA2XX,Mathematics (Agric&Envir Sci) 2XX,STATS201,Data Analysis,The University of Auckland / Te Whare Wananga o Tamaki Makaurau,New Zealand
AEMA,Equivalent,AEMA2XX,Mathematics (Agric&Envir Sci) 2XX,MATH232,Probability and statistics,École Polytechnique Fédérale de Lausanne,Switzerland
AEMA,Equivalent,AEMA2XX,Mathematics (Agric&Envir Sci) 2XX,MATH234A,Probability and statistics,École Polytechnique Fédérale de Lausanne,Switzerland
AEMA,Equivalent,AEMA2XX,Mathematics (Agric&Envir Sci) 2XX,MATH234B,Probability and Statistics,École Polytechnique Fédérale de Lausanne,Switzerland
AEMA,Equivalent,AEMA305,Differential Equations,MTH1115,Équations Différentielles,Polytechnique Montréal,Canada
AEMA,Equivalent,AEMA305,Differential Equations,1901341W,Differential Equations,Nanjing University of Aeronautics and Astronautics,China
AEMA,Equivalent,AEMA305,Differential Equations,MAT275,Modern Differential Equations,Arizona State University,USA
AEMA,Equivalent,AEMA305,Differential Equations,MAT275ICOURSE,Modern Differential Equations (icourse),Arizona State University,USA
AEMA,Not Equivalent,AEMA305,Differential Equations,MATH331,Ordinary Differential Equations for Scientists and Engineers,University of Massachusetts Amherst,USA
AEMA,Not Equivalent,AEMA305,Differential Equations,MATH2340,Differential Equations,University of Massachusetts Lowell (UMass Lowell UML),USA
AEMA,Not Equivalent,AEMA310,Statistical Methods 1,STAT1400,Statistics for Science,The University of Western Australia (UWA),Australia
AEMA,Not Equivalent,AEMA310,Statistical Methods 1,MATH315,Methods in Applied Statistics,Athabasca University,Canada
AEMA,Not Equivalent,AEMA310,Statistical Methods 1,ENGR371,Probability and Statistics in Engineering,Concordia University,Canada
AEMA,Not Equivalent,AEMA310,Statistical Methods 1,BIO2041,Biostatistique 1,Universite de Montreal,Canada
AEMA,Not Equivalent,AEMA310,Statistical Methods 1,PHL1400,Méthodes statistiques en sciences biomédicales,Universite de Montreal,Canada
AEMA,Not Equivalent,AEMA310,Statistical Methods 1,STT1901,Statistique pour science sociale,Universite de Montreal,Canada
AEMA,Equivalent,AEMA310,Statistical Methods 1,PSYC277 AND PSYC278,,University of British Columbia (UBC) - All Campuses,Canada
AEMA,Not Equivalent,AEMA310,Statistical Methods 1,BIO4558,Biostatistiques apliquées,University of Ottawa,Canada
AEMA,Not Equivalent,AEMA310,Statistical Methods 1,STATS2037,Statistics for Health,University of Western Ontario (UWO),Canada
AEMA,Equivalent,AEMA310,Statistical Methods 1,AGC2003,Statistiques appliquées en agroalimentaire,Université Laval,Canada
AEMA,Not Equivalent,AEMA310,Statistical Methods 1,MAT1185,"Statistique descriptive, tableaux croisés, et inférence",Université du Québec à Montréal (UQAM),Canada
AEMA,Not Equivalent,AEMA310,Statistical Methods 1,1900475W,Mathematical Statistical Methods,Nanjing University of Aeronautics and Astronautics,China
AEMA,Not Equivalent,AEMA310,Statistical Methods 1,1900832W,Mathematical Statistics,Nanjing University of Aeronautics and Astronautics,China
AEMA,Not Equivalent,AEMA310,Statistical Methods 1,1901170W,Statistical Methods I,Nanjing University of Aeronautics and Astronautics,China
AEMA,Not Equivalent,AEMA310,Statistical Methods 1,1901176W,Statistical Methods,Nanjing University of Aeronautics and Astronautics,China
AEMA,Not Equivalent,AEMA310,Statistical Methods 1,ST350,Statistical Inference,Shanghai Jiao Tong University,China
AEMA,Equivalent,AEMA310,Statistical Methods 1,02402,Introduction to Statistics,Technical University of Denmark,Denmark
AEMA,Equivalent,AEMA310,Statistical Methods 1,62670,Statistical Analysis and Data visualisation,Technical University of Denmark,Denmark
AEMA,Not Equivalent,AEMA310,Statistical Methods 1,ST2334,Probability and statistics,National University of Singapore,Singapore
AEMA,Not Equivalent,AEMA310,Statistical Methods 1,MAT209,Statistics,Borough of Manhattan Community College (CUNY),USA
AEMA,Not Equivalent,AEMA310,Statistical Methods 1,STAT7100,Statistical Methods,Kennesaw State University,USA
AEMA,Not Equivalent,AEMA310,Statistical Methods 1,ENGR,Probability and Statistics for Engineers,University of Georgia,USA
AEMA,Not Equivalent,AEMA310,Statistical Methods 1,STAT2000,Introductory Statistics,University of Georgia,USA
AEMA,Not Equivalent,AEMA414,Temporal and Spatial Statistics 01,MH4522,SPATIAL DATA SCIENCE,Nanyang Technological University,Singapore
AEPH,Not Equivalent,AEPH112,Introductory Physics 1,PHYS204,PHYS 204: Physics for Scientists and Engineers I,Athabasca University,Canada
AEPH,Equivalent,AEPH112,Introductory Physics 1,PHYS204 AND PHYS224,,Concordia University,Canada
AEPH,Not Equivalent,AEPH112,Introductory Physics 1,PHYS206,Waves and Modern Physics,Concordia University,Canada
AEPH,Not Equivalent,AEPH112,Introductory Physics 1,PHYS1300,Fundamentals of Physics,University of Guelph,Canada
AEPH,Not Equivalent,AEPH112,Introductory Physics 1,PHY1721,Principes de physique 1,University of Ottawa,Canada
AEPH,Equivalent,AEPH112,Introductory Physics 1,PHY131H1F,Introduction to Physics I,University of Toronto,Canada
AEPH,Not Equivalent,AEPH112,Introductory Physics 1,0702P101,Fundamentals of Physics I,Jinan University,China
AEPH,Equivalent,AEPH112,Introductory Physics 1,1901428W,Introductory Physics with Lab I,Nanjing University of Aeronautics and Astronautics,China
AEPH,Equivalent,AEPH112,Introductory Physics 1,PHYC10070,Foundations of physics,University College Dublin,Ireland
AEPH,Equivalent,AEPH112,Introductory Physics 1,PHSCS105,General Physics 1,Brigham Young University,USA
AEPH,Not Equivalent,AEPH112,Introductory Physics 1,PHYS0330,Basic Physic A,Brown University,USA
AEPH,Not Equivalent,AEPH112,Introductory Physics 1,PHYS330,Basic of physics A,Brown University,USA
AEPH,Equivalent,AEPH112,Introductory Physics 1,PHY221,College Physics 1 (algebra-based physics),Cleveland State University,USA
AEPH,Equivalent,AEPH112,Introductory Physics 1,PHYS1210,College Physics I,Cuyahoga Community College,USA
AEPH,Not Equivalent,AEPH112,Introductory Physics 1,PHYS107,Introductory Physics I,Doane University,USA
AEPH,Not Equivalent,AEPH112,Introductory Physics 1,PHYS13001,General College Physics 1,Kent State University,USA
AEPH,Not Equivalent,AEPH112,Introductory Physics 1,PHY1105,Conceptual Physics w/Lab,Pikes Peak State College (post 2022),USA
AEPH,Equivalent,AEPH112,Introductory Physics 1,PHYS203PHYS205,General Physics I (with General Physics I lab),Rutgers University - New Brunswick Campus,USA
AEPH,Equivalent,AEPH112,Introductory Physics 1,PHY102 AND PHY101,,University of Southern Maine,USA
AEPH,Not Equivalent,AEPH112,Introductory Physics 1,PHYS002A,General Physics - Mechanics,West Valley College,USA
AEPH,Equivalent,AEPH112,Introductory Physics 1,PHYSC111,College Physics 1,Westchester Community College (SUNY),USA
AEPH,Equivalent,AEPH113,Physics 1,PHYS204 AND 224,Mechanics,Concordia University,Canada
AEPH,Equivalent,AEPH113,Physics 1,PHYS1101,Physics for Life Sciences I,Kwantlen Poly University,Canada
AEPH,Not Equivalent,AEPH113,Physics 1,PHYS115,Introductory Physics,Queen's University,Canada
AEPH,Equivalent,AEPH113,Physics 1,PHY135,College Physics 1,Farmingdale State College (SUNY),USA
AEPH,Not Equivalent,AEPH114,Introductory Physics 2,PHYS201,Introductory Physics II,Athabasca University,Canada
AEPH,Equivalent,AEPH114,Introductory Physics 2,PHYS1008,University Physics II,Carleton University,Canada
AEPH,Equivalent,AEPH114,Introductory Physics 2,206 AND 225 AND 226 AND 205,226 AND,Concordia University,Canada
AEPH,Not Equivalent,AEPH114,Introductory Physics 2,PHY1902,Électricité et optique,Universite de Montreal,Canada
AEPH,Not Equivalent,AEPH114,Introductory Physics 2,PHQ020,Notions fondamentales d'électricité et de magnétisme,Universite de Sherbrooke,Canada
AEPH,Equivalent,AEPH114,Introductory Physics 2,PHYS126,"Fluids,Fields, and Radiation",University of Alberta,Canada
AEPH,Not Equivalent,AEPH114,Introductory Physics 2,1901365W,Physics II,Nanjing University of Aeronautics and Astronautics,China
AEPH,Equivalent,AEPH114,Introductory Physics 2,PHSCS106,General Physics 2,Brigham Young University,USA
AEPH,Equivalent,AEPH114,Introductory Physics 2,PHY108,Introductory Physics II,Doane University,USA
AEPH,Equivalent,AEPH114,Introductory Physics 2,136,College Physics II,Farmingdale State College (SUNY),USA
AEPH,Equivalent,AEPH114,Introductory Physics 2,PHYS204PHYS206,General Physics II (with general Physics II lab),Rutgers University - New Brunswick Campus,USA
AEPH,Equivalent,AEPH114,Introductory Physics 2,PHYS120,General Physics IIA,Siena College,USA
AEPH,Equivalent,AEPH114,Introductory Physics 2,PH164,College Physics II,Trine University,USA
AEPH,Equivalent,AEPH114,Introductory Physics 2,PHY140,General Physics II,West Chester University,USA
AEPH,Equivalent,AEPH114,Introductory Physics 2,PHYSC112,College Physics 2 with Lab/Workshop,Westchester Community College (SUNY),USA
AEPH,Equivalent,AEPH114 AND AEPH112,,Introductory Physics 1,PHYS107 AND PHYS108,Doane University,USA
AEPH,Equivalent,AEPH3XX,Physics (Agric & Envir Sci) 3XX,CI84,Énergie I,Université Internationale de Rabat (UIR),Morocco
AEPH,Equivalent,AEPH3XX,Physics (Agric & Envir Sci) 3XX,CI86,Énergies Renouvelables,Université Internationale de Rabat (UIR),Morocco
AEPH,Equivalent,AEPH4XX,Physics (Agric & Envir Sci) 4XX,CI83,Mécanique des structures,Université Internationale de Rabat (UIR),Morocco
AEPH,Equivalent,AEPH4XX,Physics (Agric & Envir Sci) 4XX,CI85,Énergétique III,Université Internationale de Rabat (UIR),Morocco
AERO,Equivalent,AERO410,Aerospace Design and Certification Process,AAE5203,Aircraft Design and Certification,The Hong Kong Polytechnic University,"Hong Kong, SAR"
AFRI,Equivalent,AFRI2XX,African Studies 2XX,HISA08,Africa in the World: An Introduction,University of Toronto,Canada
AFRI,Equivalent,AFRI2XX,African Studies 2XX,20437,African Popular Culture,The University of Birmingham,"England, UK"
AFRI,Equivalent,AFRI2XX,African Studies 2XX,GLAS1001,Africa in the World,The University of Hong Kong (HKU),"Hong Kong, SAR"
AFRI,Equivalent,AFRI2XX,African Studies 2XX,0000012239,International Migrations,Comillas Pontifical University,Spain
AFRI,Equivalent,AFRI3XX,African Studies 3XX,ARCH252,Ancient Egypt and Africa,Simon Fraser University,Canada
AFRI,Equivalent,AFRI3XX,African Studies 3XX,40776,Health and Disease in Africa,The University of Birmingham,"England, UK"
AFRI,Equivalent,AFRI3XX,African Studies 3XX,AFRI10004,Contemporary Issues in International Development,The University of Edinburgh,"Scotland, UK"
AFRI,Equivalent,AFRI3XX,African Studies 3XX,216B345,Middle East and African Studies,Seoul National University,South Korea
