subject,status,mcgill_code,mcgill_title,host_code,host_title,institution,country
MGCR,Not Equivalent,MGCR331,Information Technology Management ,INFOST1002,Digital Media and Information Studies 1B,The University of Glasgow,"Scotland, UK"
MGCR,Not Equivalent,MGCR331,Information Systems,AB1401,Technological Innovations and Developments,Nanyang Technological University,Singapore
MGCR,Not Equivalent,MGCR331,Information Technology Management ,IS1128,"IT, Management and Organization",National University of Singapore,Singapore
MGCR,Equivalent,MGCR331,Information Systems,BUSS215,MANAGEMENT INFORMATION SYSTEMS,Korea University,South Korea
MGCR,Equivalent,MGCR331,Information Technology Management ,251326,Management Information Systems,Seoul National University,South Korea
MGCR,Not Equivalent,MGCR331,Information Technology Management ,007874,Project Management,Escuela Sup Admin Dir Empresas,Spain
MGCR,Not Equivalent,MGCR331,Information Technology Management ,015142,Scrum & Kanban as Agile methodologies,Escuela Sup Admin Dir Empresas,Spain
MGCR,Not Equivalent,MGCR331,Information Technology Management ,016257,Recommender Systems,Escuela Sup Admin Dir Empresas,Spain
MGCR,Not Equivalent,MGCR331,Information Technology Management ,016259,Computational Social Science,Escuela Sup Admin Dir Empresas,Spain
MGCR,Not Equivalent,MGCR331,Information Technology Management ,016260,Introduction to Natural Language Processing,Escuela Sup Admin Dir Empresas,Spain
MGCR,Not Equivalent,MGCR331,Information Technology Management ,016261,Blockchain Programming Fundamentals,Escuela Sup Admin Dir Empresas,Spain
MGCR,Not Equivalent,MGCR331,Information Technology Management ,016262,Blockchain in Business: Applications and Opportunities,Escuela Sup Admin Dir Empresas,Spain
MGCR,Not Equivalent,MGCR331,Information Technology Management ,2215YR0026671,Information Systems,Escuela Sup Admin Dir Empresas,Spain
MGCR,Equivalent,MGCR331,Information Technology Management ,810018,BUSINESS-DRIVEN INFORMATION TECHNOLOGIES,IE University - Madrid,Spain
MGCR,Not Equivalent,MGCR331,Information Technology Management ,NONUMBER,Business Intelligence and Analytics,University of Lausanne,Switzerland
MGCR,Equivalent,MGCR331,Information Technology Management ,2602241,Introduction to Information Technology and Information Systems,Chulalongkorn University,Thailand
MGCR,Not Equivalent,MGCR341,Introduction to Finance,4389,Finance for Business Management | Finanzas para la Toma de Decisiones,University of Torcuato di Tella,Argentina
MGCR,Equivalent,MGCR341,Introduction to Finance,FINM1001,Foundations of Finance,The Australian National University (ANU),Australia
MGCR,Equivalent,MGCR341,Introduction to Finance,CORPFIN1002,Business Finance,The University of Adelaide,Australia
MGCR,Equivalent,MGCR341,Introduction to Finance,FNCE10002,Principles of Finance,University of Melbourne,Australia
MGCR,Equivalent,MGCR341,Introduction to Finance,FINS2615,Intermediate Business Finance,University of New South Wales (UNSW),Australia
MGCR,Not Equivalent,MGCR341,Introduction to Finance,FNCE300,Financial Economics,Athabasca University,Canada
MGCR,Not Equivalent,MGCR341,Introduction to Finance,FNCE370,Overview of Corporate Finance,Athabasca University,Canada
MGCR,Not Equivalent,MGCR341,Introduction to Finance,BUSI2501,Business Finance,Carleton University,Canada
MGCR,Not Equivalent,MGCR341,Introduction to Finance,COMM221,Financial Markets,Concordia University,Canada
MGCR,Not Equivalent,MGCR341,Introduction to Finance,COMM308,Corporate Finance,Concordia University,Canada
MGCR,Not Equivalent,MGCR341,Introduction to Finance,FINA200,Personal Finance,Concordia University,Canada
MGCR,Not Equivalent,MGCR341,Introduction to Finance,FINA230,Introduction to Financial Management,Concordia University,Canada
MGCR,Not Equivalent,MGCR341,Introduction to Finance,FINA385,Theory of Finance I,Concordia University,Canada
MGCR,Not Equivalent,MGCR341,Introduction to Finance,FMGT2371,Financial Management 1,Langara College,Canada
MGCR,Equivalent,MGCR341,Introduction to Finance,FIN2000,Introduction to Finance,University of Guelph,Canada
MGCR,Equivalent,MGCR341,Introduction to Finance,FIN2200,Corporation Finance,University of Manitoba,Canada
MGCR,Equivalent,MGCR341,Introduction to Finance,FIN2010,introduction to finance,University of Manitoba,Canada
MGCR,Equivalent,MGCR341,Introduction to Finance,FIN1020,Administration financière l,Université du Québec - TÉLUQ Université,Canada
MGCR,Equivalent,MGCR341,Introduction to Finance,APADMS3530,Finance,York University,Canada
MGCR,Not Equivalent,MGCR341,Introduction to Finance,170010,International Finance,Fudan University,China
MGCR,Equivalent,MGCR341,Introduction to Finance,MANA130004,Financial Management,Fudan University,China
MGCR,Not Equivalent,MGCR341,Introduction to Finance,02834020,Introduction to Finance,Peking University,China
MGCR,Not Equivalent,MGCR341,Introduction to Finance,2831580,Financial Economics,Peking University,China
MGCR,Equivalent,MGCR341,Introduction to Finance,30511053,Corporate Finance,Tsinghua University,China
MGCR,Not Equivalent,MGCR341,Introduction to Finance,1203,ADMI,University of the Andes,Colombia
MGCR,Equivalent,MGCR341,Introduction to Finance,BMAN10522,Financial Desicion Making,The University of Manchester,"England, UK"
MGCR,Equivalent,MGCR341,Introduction to Finance,BMAN10552,Fundamentals of Finance,The University of Manchester,"England, UK"
MGCR,Not Equivalent,MGCR341,Introduction to Finance,5SSMN224,Introduction to Corporate Finance,University of London - King's College London,"England, UK"
MGCR,Equivalent,MGCR341,Introduction to Finance,FM210,Principles of Finance I,University of London - London School of Economics and Political Science,"England, UK"
MGCR,Not Equivalent,MGCR341,Introduction to Finance,FM211,Principles of Finance II,University of London - London School of Economics and Political Science,"England, UK"
MGCR,Equivalent,MGCR341,Introduction to Finance,FM212,Principles of Finance,University of London - London School of Economics and Political Science,"England, UK"
MGCR,Equivalent,MGCR341,Introduction to Finance,GEFFFIN001,Financial Economics,École des Hautes Études Commerciales (HEC Paris),France
MGCR,Equivalent,MGCR341,Introduction to Finance,FIN301,Investments and Asset Pricing,University of Mannheim,Germany
MGCR,Equivalent,MGCR341,Introduction to Finance,CB3410,Financial management,City University of Hong Kong,"Hong Kong, SAR"
MGCR,Not Equivalent,MGCR341,Introduction to Finance,FINA2203,Fundamentals of Business Finance,The Hong Kong University of Science and Technology,"Hong Kong, SAR"
MGCR,Equivalent,MGCR341,Introduction to Finance,293NFINK351B,Corporate Finance,Corvinus University of Budapest,Hungary
MGCR,Equivalent,MGCR341,Introduction to Finance,AIBE3100,FINANCIAL MANAGEMENT,Sophia University,Japan
MGCR,Not Equivalent,MGCR341,Introduction to Finance,CIX2001,Financial Management,University of Malaya,Malaysia
MGCR,Equivalent,MGCR341,Introduction to Finance,ECON261,Principles of Finance,Lahore University of Management Sciences (LUMS),Pakistan
MGCR,Equivalent,MGCR341,Introduction to Finance,BUST08003,Principles of Finance,The University of Edinburgh,"Scotland, UK"
MGCR,Not Equivalent,MGCR341,Introduction to Finance,MGT1026,Foundations of Finance,The University of Glasgow,"Scotland, UK"
MGCR,Equivalent,MGCR341,Introduction to Finance,BU5201,Business Finance,Nanyang Technological University,Singapore
MGCR,Equivalent,MGCR341,Introduction to Finance,FIN2704X,Finance,National University of Singapore,Singapore
MGCR,Not Equivalent,MGCR341,Introduction to Finance,QF1100,Introduction to Quantitative Finance,National University of Singapore,Singapore
MGCR,Equivalent,MGCR341,Introduction to Finance,FNCE101,Finance,Singapore Management University,Singapore
MGCR,Not Equivalent,MGCR341,Introduction to Finance,07685,Fundamentals of Finance,University of Navarra,Spain
MGCR,Equivalent,MGCR341,Introduction to Finance,BO694,Principle of Finance and Exercises,University of Lausanne,Switzerland
MGCR,Equivalent,MGCR341,Introduction to Finance,FIN3001,Financial Management,National Taiwan University (NTU),Taiwan
MGCR,Not Equivalent,MGCR341,Introduction to Finance,BUSG1303,Principles of Finance,Austin Community College,USA
MGCR,Not Equivalent,MGCR341,Introduction to Finance,UGBA103,Introduction to Finance,University of California - Berkeley,USA
MGCR,Equivalent,MGCR341,Introduction to Finance,FIN300,Financial Mangement,University of Michigan - Ann Arbor,USA
MGCR,Equivalent,MGCR352,Principles of Marketing,MARKETNG1001,Introduction to Marketing,The University of Adelaide,Australia
