ANTH,1,Environment and Culture.,Environment and Culture.
ANTH,1,AANA18137U,AANA18137U
ANTH,1,"Climate, Nature, Environment: basic concepts and new trends","Climate, Nature, Environment: basic concepts and new trends"
ANTH,1,"ANTH206


	
Environment and Culture.


	
ANT3110


	
Environment and Culture


	Yonsei University	South Korea",ANTH206,Environment and Culture.,ANT3110,Environment and Culture,Yonsei University	South Korea
ANTH,1,ANTH206,ANTH206
ANTH,1,Environment and Culture.,Environment and Culture.
ANTH,1,ANT3110,ANT3110
ANTH,1,Environment and Culture,Environment and Culture
ANTH,1,"ANTH206


	
Environment and Culture.


	
EESC101


	
Environmental Science


	University of British Columbia (UBC) - All Campuses	Canada",ANTH206,Environment and Culture.,EESC101,Environmental Science,University of British Columbia (UBC) - All Campuses	Canada
ANTH,1,ANTH206,ANTH206
ANTH,1,Environment and Culture.,Environment and Culture.
ANTH,1,EESC101,EESC101
ANTH,1,Environmental Science,Environmental Science
ANTH,1,"ANTH208


	
Evolutionary Anthropology.


	
ANT202


	
BIOLOGICAL ANTHROPOLOGY: HUMAN VARIATION AND ADAPTATION


	University of Toronto	Canada",ANTH208,Evolutionary Anthropology.,ANT202,BIOLOGICAL ANTHROPOLOGY: HUMAN VARIATION AND ADAPTATION,University of Toronto	Canada
ANTH,1,ANTH208,ANTH208
ANTH,1,Evolutionary Anthropology.,Evolutionary Anthropology.
ANTH,1,ANT202,ANT202
ANTH,1,BIOLOGICAL ANTHROPOLOGY: HUMAN VARIATION AND ADAPTATION,BIOLOGICAL ANTHROPOLOGY: HUMAN VARIATION AND ADAPTATION
ANTH,1,"ANTH208


	
Evolutionary Anthropology.


	
CSCBS3MA


	
COMMUNITY, SOCIETY & CULTURE


	IE University - Madrid	Spain",ANTH208,Evolutionary Anthropology.,CSCBS3MA,"COMMUNITY, SOCIETY & CULTURE",IE University - Madrid	Spain
ANTH,1,ANTH208,ANTH208
ANTH,1,Evolutionary Anthropology.,Evolutionary Anthropology.
ANTH,1,CSCBS3MA,CSCBS3MA
ANTH,1,"COMMUNITY, SOCIETY & CULTURE","COMMUNITY, SOCIETY & CULTURE"
ANTH,1,"ANTH209


	
Anthropology of Religion.


	
ANTH0059


	
Anthropology of Religion


	University College London (UCL) - University of London	England, UK",ANTH209,Anthropology of Religion.,ANTH0059,Anthropology of Religion,"University College London (UCL) - University of London	England, UK"
ANTH,1,ANTH209,ANTH209
ANTH,1,Anthropology of Religion.,Anthropology of Religion.
ANTH,1,ANTH0059,ANTH0059
ANTH,1,Anthropology of Religion,Anthropology of Religion
ANTH,1,"ANTH209


	
Anthropology of Religion.


	
ASPO25A27


	
Religion, Politics, and Society


	Institut d'Études Politiques (Sciences Po) (ALL CAMPUSES)	France",ANTH209,Anthropology of Religion.,ASPO25A27,"Religion, Politics, and Society",Institut d'Études Politiques (Sciences Po) (ALL CAMPUSES)	France
ANTH,1,ANTH209,ANTH209
ANTH,1,Anthropology of Religion.,Anthropology of Religion.
ANTH,1,ASPO25A27,ASPO25A27
ANTH,1,"Religion, Politics, and Society","Religion, Politics, and Society"
ANTH,1,"ANTH212


	
Anthropology of Development.


	
06SM721L129


	
Anthropology of Development


	University of Zurich	Switzerland",ANTH212,Anthropology of Development.,06SM721L129,Anthropology of Development,University of Zurich	Switzerland
ANTH,1,ANTH212,ANTH212
ANTH,1,Anthropology of Development.,Anthropology of Development.
ANTH,1,06SM721L129,06SM721L129
ANTH,1,Anthropology of Development,Anthropology of Development
ANTH,1,"ANTH212


	
Anthropology of Development.


	
3917


	
Imagining the Modern City in the Americas: A Dialogue between New York City, Rio de Janeiro, and Buenos Aires


	University of Torcuato di Tella	Argentina",ANTH212,Anthropology of Development.,3917,"Imagining the Modern City in the Americas: A Dialogue between New York City, Rio de Janeiro, and Buenos Aires",University of Torcuato di Tella	Argentina
ANTH,1,ANTH212,ANTH212
ANTH,1,Anthropology of Development.,Anthropology of Development.
ANTH,1,3917,3917
ANTH,1,"Imagining the Modern City in the Americas: A Dialogue between New York City, Rio de Janeiro, and Buenos Aires","Imagining the Modern City in the Americas: A Dialogue between New York City, Rio de Janeiro, and Buenos Aires"
ANTH,1,"ANTH212


	
Anthropology of Development.


	
ANTH231


	
Culture and Commerce


	Concordia University	Canada",ANTH212,Anthropology of Development.,ANTH231,Culture and Commerce,Concordia University	Canada
ANTH,1,ANTH212,ANTH212
ANTH,1,Anthropology of Development.,Anthropology of Development.
ANTH,1,ANTH231,ANTH231
ANTH,1,Culture and Commerce,Culture and Commerce
ANTH,1,"ANTH212


	
Anthropology of Development.


	
ARTS1250


	
Human Geography: Society, Space and Territory


	University of New South Wales (UNSW)	Australia",ANTH212,Anthropology of Development.,ARTS1250,"Human Geography: Society, Space and Territory",University of New South Wales (UNSW)	Australia
ANTH,1,ANTH212,ANTH212
ANTH,1,Anthropology of Development.,Anthropology of Development.
ANTH,1,ARTS1250,ARTS1250
ANTH,1,"Human Geography: Society, Space and Territory","Human Geography: Society, Space and Territory"
ANTH,1,"ANTH212


	
Anthropology of Development.


	
DEVT10001


	
The Developing World


	University of Melbourne	Australia",ANTH212,Anthropology of Development.,DEVT10001,The Developing World,University of Melbourne	Australia
ANTH,1,ANTH212,ANTH212
ANTH,1,Anthropology of Development.,Anthropology of Development.
ANTH,1,DEVT10001,DEVT10001
ANTH,1,The Developing World,The Developing World
ANTH,1,"ANTH227


	
Medical Anthropology.


	
YBAJ215


	
The Anthropology of Body, Health and Illness


	Charles University in Prague	Czech Republic",ANTH227,Medical Anthropology.,YBAJ215,"The Anthropology of Body, Health and Illness",Charles University in Prague	Czech Republic
ANTH,1,ANTH227,ANTH227
ANTH,1,Medical Anthropology.,Medical Anthropology.
ANTH,1,YBAJ215,YBAJ215
ANTH,1,"The Anthropology of Body, Health and Illness","The Anthropology of Body, Health and Illness"
ANTH,1,"ANTH2XX


	
Anthropology 2XX


	
221


	
Symbolic Anthropology


	Concordia University	Canada",ANTH2XX,Anthropology 2XX,221,Symbolic Anthropology,Concordia University	Canada
ANTH,1,ANTH2XX,ANTH2XX
ANTH,1,Anthropology 2XX,Anthropology 2XX
ANTH,1,221,221
ANTH,1,Symbolic Anthropology,Symbolic Anthropology
ANTH,1,"ANTH2XX


	
Anthropology 2XX


	
2SK146


	
Gender and Economic Development


	Uppsala University	Sweden",ANTH2XX,Anthropology 2XX,2SK146,Gender and Economic Development,Uppsala University	Sweden
ANTH,1,ANTH2XX,ANTH2XX
ANTH,1,Anthropology 2XX,Anthropology 2XX
ANTH,1,2SK146,2SK146
ANTH,1,Gender and Economic Development,Gender and Economic Development
ANTH,1,"ANTH2XX


	
Anthropology 2XX


	
81946


	
Historical Anthropology and Early Modern Globalisation (1) (LM)


	University of Bologna	Italy",ANTH2XX,Anthropology 2XX,81946,Historical Anthropology and Early Modern Globalisation (1) (LM),University of Bologna	Italy
ANTH,1,ANTH2XX,ANTH2XX
ANTH,1,Anthropology 2XX,Anthropology 2XX
ANTH,1,81946,81946
ANTH,1,Historical Anthropology and Early Modern Globalisation (1) (LM),Historical Anthropology and Early Modern Globalisation (1) (LM)
ANTH,1,"ANTH2XX


	
Anthropology 2XX


	
AANA18127U


	
Economies of Tech


	University of Copenhagen	Denmark",ANTH2XX,Anthropology 2XX,AANA18127U,Economies of Tech,University of Copenhagen	Denmark
ANTH,1,ANTH2XX,ANTH2XX
ANTH,1,Anthropology 2XX,Anthropology 2XX
ANTH,1,AANA18127U,AANA18127U
ANTH,1,Economies of Tech,Economies of Tech
ANTH,1,"ANTH2XX


	
Anthropology 2XX


	
AANB05091U


	
The Anthropology of Migration, Introductory Course


	University of Copenhagen	Denmark",ANTH2XX,Anthropology 2XX,AANB05091U,"The Anthropology of Migration, Introductory Course",University of Copenhagen	Denmark
ANTH,1,ANTH2XX,ANTH2XX
ANTH,1,Anthropology 2XX,Anthropology 2XX
ANTH,1,AANB05091U,AANB05091U
ANTH,1,"The Anthropology of Migration, Introductory Course","The Anthropology of Migration, Introductory Course"
ANTH,1,"ANTH2XX


	
Anthropology 2XX


	
ANT101H5


	
Introduction to Biological Anthropology and Archaeology


	University of Toronto	Canada",ANTH2XX,Anthropology 2XX,ANT101H5,Introduction to Biological Anthropology and Archaeology,University of Toronto	Canada
ANTH,1,ANTH2XX,ANTH2XX
ANTH,1,Anthropology 2XX,Anthropology 2XX
ANTH,1,ANT101H5,ANT101H5
ANTH,1,Introduction to Biological Anthropology and Archaeology,Introduction to Biological Anthropology and Archaeology
ANTH,1,"ANTH2XX


	
Anthropology 2XX


	
ANT204


	
Social Cultural Anthropology and Global Issues


	University of Toronto	Canada",ANTH2XX,Anthropology 2XX,ANT204,Social Cultural Anthropology and Global Issues,University of Toronto	Canada
ANTH,1,ANTH2XX,ANTH2XX
ANTH,1,Anthropology 2XX,Anthropology 2XX
ANTH,1,ANT204,ANT204
ANTH,1,Social Cultural Anthropology and Global Issues,Social Cultural Anthropology and Global Issues
ANTH,1,"ANTH2XX


	
Anthropology 2XX


	
ANTH


	
Consumption Anthropology


	Brazilian School of Public and Business Administration	Brazil",ANTH2XX,Anthropology 2XX,ANTH,Consumption Anthropology,Brazilian School of Public and Business Administration	Brazil
ANTH,1,ANTH2XX,ANTH2XX
ANTH,1,Anthropology 2XX,Anthropology 2XX
ANTH,1,ANTH,ANTH
ANTH,1,Consumption Anthropology,Consumption Anthropology
ANTH,1,"ANTH2XX


	
Anthropology 2XX


	
ANTH20001


	
Keeping the body in Mind


	University of Melbourne	Australia",ANTH2XX,Anthropology 2XX,ANTH20001,Keeping the body in Mind,University of Melbourne	Australia
ANTH,1,ANTH2XX,ANTH2XX
ANTH,1,Anthropology 2XX,Anthropology 2XX
ANTH,1,ANTH20001,ANTH20001
ANTH,1,Keeping the body in Mind,Keeping the body in Mind
ANTH,1,"ANTH2XX


	
Anthropology 2XX


	
ANTH275


	
Faces of Culture: An Introduction to Cultural Anthropolog


	Athabasca University	Canada",ANTH2XX,Anthropology 2XX,ANTH275,Faces of Culture: An Introduction to Cultural Anthropolog,Athabasca University	Canada
ANTH,1,ANTH2XX,ANTH2XX
ANTH,1,Anthropology 2XX,Anthropology 2XX
ANTH,1,ANTH275,ANTH275
ANTH,1,Faces of Culture: An Introduction to Cultural Anthropolog,Faces of Culture: An Introduction to Cultural Anthropolog
ANTH,1,"ANTH2XX


	
Anthropology 2XX


	
ANTH302


	
The Practice of Ethnography


	University of Saskatchewan	Canada",ANTH2XX,Anthropology 2XX,ANTH302,The Practice of Ethnography,University of Saskatchewan	Canada
ANTH,1,ANTH2XX,ANTH2XX
ANTH,1,Anthropology 2XX,Anthropology 2XX
ANTH,1,ANTH302,ANTH302
ANTH,1,The Practice of Ethnography,The Practice of Ethnography
ANTH,1,"ANTH2XX


	
Anthropology 2XX


	
ANTHRO110


	
Culture and Creativity


	The University of Auckland / Te Whare Wananga o Tamaki Makaurau	New Zealand",ANTH2XX,Anthropology 2XX,ANTHRO110,Culture and Creativity,The University of Auckland / Te Whare Wananga o Tamaki Makaurau	New Zealand
ANTH,1,ANTH2XX,ANTH2XX
ANTH,1,Anthropology 2XX,Anthropology 2XX
ANTH,1,ANTHRO110,ANTHRO110
ANTH,1,Culture and Creativity,Culture and Creativity
ANTH,1,"ANTH2XX


	
Anthropology 2XX


	
ANTR2030


	
Métodos espaciales en etnografía


	University of the Andes	Colombia",ANTH2XX,Anthropology 2XX,ANTR2030,Métodos espaciales en etnografía,University of the Andes	Colombia
ANTH,1,ANTH2XX,ANTH2XX
ANTH,1,Anthropology 2XX,Anthropology 2XX
ANTH,1,ANTR2030,ANTR2030
ANTH,1,Métodos espaciales en etnografía,Métodos espaciales en etnografía
ANTH,1,"ANTH2XX


	
Anthropology 2XX


	
ANTR2202


	
ARQUEOLOGÍA DE COLOMBIA


	University of the Andes	Colombia",ANTH2XX,Anthropology 2XX,ANTR2202,ARQUEOLOGÍA DE COLOMBIA,University of the Andes	Colombia
ANTH,1,ANTH2XX,ANTH2XX
ANTH,1,Anthropology 2XX,Anthropology 2XX
ANTH,1,ANTR2202,ANTR2202
ANTH,1,ARQUEOLOGÍA DE COLOMBIA,ARQUEOLOGÍA DE COLOMBIA
