code,subject,title,credits,prereq_text,prereq_codes,coreq_text,coreq_codes,restrictions,description
ECSE416,ECSE,Telecommunication Networks,4,"(ECSE 250 or COMP 250), ECSE 205, and (ECSE 308 or ECSE 316)",ECSE250 COMP250 ECSE205 ECSE308 ECSE316,,,Not open to students who have taken ECSE 414 or ECSE 489. (3-4-5),
ECSE420,ECSE,Parallel Computing,3,ECSE 427,ECSE427,,,,
ECSE421,ECSE,Embedded Systems,3,ECSE 324,ECSE324,,,,
ECSE422,ECSE,Fault Tolerant Computing,3,ECSE 324 and (ECSE 250 or COMP 250),ECSE324 ECSE250 COMP250,,,,
ECSE423,ECSE,Fundamentals of Photonics,3,ECSE 354,ECSE354,,,,
ECSE424,ECSE,Human-Computer Interaction,3,(ECSE 324 and ECSE 250) or (ECSE 324 and COMP 250) or (COMP 251 and COMP 273),ECSE324 ECSE250 COMP250 COMP251 COMP273,,,,
ECSE425,ECSE,Computer Architecture,3,ECSE 324 Tutorials assigned by instructor,ECSE324,,,,
ECSE426,ECSE,Microprocessor Systems,3,(CCOM 206 or WCOM 206) and ECSE 323. This course may be counted as a technical complementary or a lab complementary. Limited Enrolment (50) Lab hours assigned by instructor,CCOM206 WCOM206 ECSE323,,,,
ECSE427,ECSE,Operating Systems,3,ECSE 324 or COMP 273 Tutorials assigned by instructor,ECSE324 COMP273,,,,
ECSE428,ECSE,Software Engineering Practice,3,ECSE 321,ECSE321,,,,
ECSE429,ECSE,Software Validation,3,ECSE 321 or COMP 303,ECSE321 COMP303,,,,
ECSE430,ECSE,Photonic Devices and Systems,3,(ECSE 352 or ECSE 354) and MIME 262. Tutorials assigned by instructor,ECSE352 ECSE354 MIME262,,,,
ECSE433,ECSE,Physical Basis of Transistor Devices,4,"ECSE 251, ECSE 331, and MIME 262 (3-4-5)",ECSE251 ECSE331 MIME262,,,,
ECSE435,ECSE,Mixed-Signal Test Techniques,3,ECSE 206 or ECSE 304 and ECSE 334 or ECSE 335,ECSE206 ECSE304 ECSE334 ECSE335,,,,
ECSE437,ECSE,Software Delivery,3,ECSE 321 or COMP 303,ECSE321 COMP303,,,,
ECSE439,ECSE,Software Language Engineering,3,ECSE 321 or COMP 303. Restricted to Software Engineering students,ECSE321 COMP303,,,,
